Outcome,Probability
HTHHTTTT,0.003906
THHHTTTT,0.003906
HHHHTTTT,0.003906
TTTTHTTT,0.003906
HTTTHTTT,0.003906
THTTHTTT,0.003906
HHTTHTTT,0.003906
TTHTHTTT,0.003906
HTHTHTTT,0.003906
THHTHTTT,0.003906
HHHTHTTT,0.003906
TTTHHTTT,0.003906
HTTHHTTT,0.003906
THTHHTTT,0.003906
HHTHHTTT,0.003906
TTHHHTTT,0.003906
HTHHHTTT,0.003906
THHHHTTT,0.003906
HHHHHTTT,0.003906
TTTTTHTT,0.003906
HTTTTHTT,0.003906
THTTTHTT,0.003906
HHTTTHTT,0.003906
TTHTTHTT,0.003906
HTHTTHTT,0.003906
THHTTHTT,0.003906
HHHTTHTT,0.003906
TTTHTHTT,0.003906
HTTHTHTT,0.003906
THTHTHTT,0.003906
HHTHTHTT,0.003906
TTHHTHTT,0.003906
HTHHTHTT,0.003906
THHHTHTT,0.003906
HHHHTHTT,0.003906
TTTTHHTT,0.003906
HTTTHHTT,0.003906
THTTHHTT,0.003906
HHTTHHTT,0.003906
TTHTHHTT,0.003906
HTHTHHTT,0.003906
THHTHHTT,0.003906
HHHTHHTT,0.003906
TTTHHHTT,0.003906
HTTHHHTT,0.003906
THTHHHTT,0.003906
HHTHHHTT,0.003906
TTHHHHTT,0.003906
HTHHHHTT,0.003906
THHHHHTT,0.003906
HHHHHHTT,0.003906
TTTTTTHT,0.003906
HTTTTTHT,0.003906
THTTTTHT,0.003906
HHTTTTHT,0.003906
TTHTTTHT,0.003906
HTHTTTHT,0.003906
THHTTTHT,0.003906
HHHTTTHT,0.003906
TTTHTTHT,0.003906
HTTHTTHT,0.003906
THTHTTHT,0.003906
HHTHTTHT,0.003906
TTHHTTHT,0.003906
HTHHTTHT,0.003906
THHHTTHT,0.003906
HHHHTTHT,0.003906
TTTTHTHT,0.003906
HTTTHTHT,0.003906
THTTHTHT,0.003906
HHTTHTHT,0.003906
TTHTHTHT,0.003906
HTHTHTHT,0.003906
THHTHTHT,0.003906
HHHTHTHT,0.003906
TTTHHTHT,0.003906
HTTHHTHT,0.003906
THTHHTHT,0.003906
HHTHHTHT,0.003906
TTHHHTHT,0.003906
HTHHHTHT,0.003906
THHHHTHT,0.003906
HHHHHTHT,0.003906
TTTTTHHT,0.003906
HTTTTHHT,0.003906
THTTTHHT,0.003906
HHTTTHHT,0.003906
TTHTTHHT,0.003906
HTHTTHHT,0.003906
THHTTHHT,0.003906
HHHTTHHT,0.003906
TTTHTHHT,0.003906
HTTHTHHT,0.003906
THTHTHHT,0.003906
HHTHTHHT,0.003906
TTHHTHHT,0.003906
HTHHTHHT,0.003906
THHHTHHT,0.003906
HHHHTHHT,0.003906
TTTTHHHT,0.003906
HTTTHHHT,0.003906
THTTHHHT,0.003906
HHTTHHHT,0.003906
TTHTHHHT,0.003906
HTHTHHHT,0.003906
THHTHHHT,0.003906
HHHTHHHT,0.003906
TTTHHHHT,0.003906
HTTHHHHT,0.003906
THTHHHHT,0.003906
HHTHHHHT,0.003906
TTHHHHHT,0.003906
HTHHHHHT,0.003906
THHHHHHT,0.003906
HHHHHHHT,0.003906
TTTTTTTH,0.003906
HTTTTTTH,0.003906
THTTTTTH,0.003906
HHTTTTTH,0.003906
TTHTTTTH,0.003906
HTHTTTTH,0.003906
THHTTTTH,0.003906
HHHTTTTH,0.003906
TTTHTTTH,0.003906
HTTHTTTH,0.003906
THTHTTTH,0.003906
HHTHTTTH,0.003906
TTHHTTTH,0.003906
HTHHTTTH,0.003906
THHHTTTH,0.003906
HHHHTTTH,0.003906
TTTTHTTH,0.003906
HTTTHTTH,0.003906
THTTHTTH,0.003906
HHTTHTTH,0.003906
TTHTHTTH,0.003906
HTHTHTTH,0.003906
THHTHTTH,0.003906
HHHTHTTH,0.003906
TTTHHTTH,0.003906
HTTHHTTH,0.003906
THTHHTTH,0.003906
HHTHHTTH,0.003906
TTHHHTTH,0.003906
HTHHHTTH,0.003906
THHHHTTH,0.003906
HHHHHTTH,0.003906
TTTTTHTH,0.003906
HTTTTHTH,0.003906
THTTTHTH,0.003906
HHTTTHTH,0.003906
TTHTTHTH,0.003906
HTHTTHTH,0.003906
THHTTHTH,0.003906
HHHTTHTH,0.003906
TTTHTHTH,0.003906
HTTHTHTH,0.003906
THTHTHTH,0.003906
HHTHTHTH,0.003906
TTHHTHTH,0.003906
HTHHTHTH,0.003906
THHHTHTH,0.003906
HHHHTHTH,0.003906
TTTTHHTH,0.003906
HTTTHHTH,0.003906
THTTHHTH,0.003906
HHTTHHTH,0.003906
TTHTHHTH,0.003906
HTHTHHTH,0.003906
THHTHHTH,0.003906
HHHTHHTH,0.003906
TTTHHHTH,0.003906
HTTHHHTH,0.003906
THTHHHTH,0.003906
HHTHHHTH,0.003906
TTHHHHTH,0.003906
HTHHHHTH,0.003906
THHHHHTH,0.003906
HHHHHHTH,0.003906
TTTTTTHH,0.003906
HTTTTTHH,0.003906
THTTTTHH,0.003906
HHTTTTHH,0.003906
TTHTTTHH,0.003906
HTHTTTHH,0.003906
THHTTTHH,0.003906
HHHTTTHH,0.003906
TTTHTTHH,0.003906
HTTHTTHH,0.003906
THTHTTHH,0.003906
HHTHTTHH,0.003906
TTHHTTHH,0.003906
HTHHTTHH,0.003906
THHHTTHH,0.003906
HHHHTTHH,0.003906
TTTTHTHH,0.003906
HTTTHTHH,0.003906
THTTHTHH,0.003906
HHTTHTHH,0.003906
TTHTHTHH,0.003906
HTHTHTHH,0.003906
THHTHTHH,0.003906
HHHTHTHH,0.003906
TTTHHTHH,0.003906
HTTHHTHH,0.003906
THTHHTHH,0.003906
HHTHHTHH,0.003906
TTHHHTHH,0.003906
HTHHHTHH,0.003906
THHHHTHH,0.003906
HHHHHTHH,0.003906
TTTTTHHH,0.003906
HTTTTHHH,0.003906
THTTTHHH,0.003906
HHTTTHHH,0.003906
TTHTTHHH,0.003906
HTHTTHHH,0.003906
THHTTHHH,0.003906
HHHTTHHH,0.003906
TTTHTHHH,0.003906
HTTHTHHH,0.003906
THTHTHHH,0.003906
HHTHTHHH,0.003906
TTHHTHHH,0.003906
HTHHTHHH,0.003906
THHHTHHH,0.003906
HHHHTHHH,0.003906
TTTTHHHH,0.003906
HTTTHHHH,0.003906
THTTHHHH,0.003906
HHTTHHHH,0.003906
TTHTHHHH,0.003906
HTHTHHHH,0.003906
THHTHHHH,0.003906
HHHTHHHH,0.003906
TTTHHHHH,0.003906
HTTHHHHH,0.003906
THTHHHHH,0.003906
HHTHHHHH,0.003906
TTHHHHHH,0.003906
HTHHHHHH,0.003906
THHHHHHH,0.003906
HHHHHHHH,0.003906
TTTTTTTTT,0.001953
HTTTTTTTT,0.001953
THTTTTTTT,0.001953
HHTTTTTTT,0.001953
TTHTTTTTT,0.001953
HTHTTTTTT,0.001953
THHTTTTTT,0.001953
